model,repeat,fold,split_id,n_train,n_valid,rf_param_hash,R2,RMSE,MSE,feature_set
M1,2,4,8,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.00485539216373998,721.2370564802676,520182.8916403207,IV1;IV2;year_1;Region_1;PMC_T
M1,2,5,9,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-1.0229411183636072,284.997167398942,81223.38542542057,IV1;IV2;year_1;Region_1;PMC_T
M1,3,1,10,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.050028862181271117,662.219624845043,438534.8315299095,IV1;IV2;year_1;Region_1;PMC_T
M1,3,2,11,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.7321219407414685,258.2938400168927,66715.70779067218,IV1;IV2;year_1;Region_1;PMC_T
M1,3,3,12,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.2499597639690121,2587.523177860105,6695276.195963256,IV1;IV2;year_1;Region_1;PMC_T
M1,3,4,13,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.22489433133238834,371.7882724924598,138226.51956292754,IV1;IV2;year_1;Region_1;PMC_T
M1,3,5,14,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-3.992967510091007,298.25876763029464,88958.29246834209,IV1;IV2;year_1;Region_1;PMC_T
M1,4,1,15,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.026495588439459095,671.9060212520507,451457.7013947611,IV1;IV2;year_1;Region_1;PMC_T
M1,4,2,16,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.10039716303121704,2442.1457398671123,5964075.814751085,IV1;IV2;year_1;Region_1;PMC_T
M1,4,3,17,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.11724521187285442,211.4902339451977,44728.11905419445,IV1;IV2;year_1;Region_1;PMC_T
M1,4,4,18,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-7.202830691156672,317.2687879793755,100659.4838259019,IV1;IV2;year_1;Region_1;PMC_T
M1,4,5,19,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.10730794993558423,647.9160068140446,419795.1518858571,IV1;IV2;year_1;Region_1;PMC_T
M1,5,1,20,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.3995372082874329,949.3377605881783,901242.1836785773,IV1;IV2;year_1;Region_1;PMC_T
M1,5,2,21,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.36700995029478345,385.5751055906423,148668.16205123498,IV1;IV2;year_1;Region_1;PMC_T
M1,5,3,22,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-7.212815394946116,462.49031859347957,213897.29479269826,IV1;IV2;year_1;Region_1;PMC_T
M1,5,4,23,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.7199117146459335,238.3263917496646,56799.4690044146,IV1;IV2;year_1;Region_1;PMC_T
M1,5,5,24,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.11641593619271196,2458.9146004309173,6046261.012212337,IV1;IV2;year_1;Region_1;PMC_T
M1,6,1,25,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.39222699429110053,239.84837548431835,57527.24322246656,IV1;IV2;year_1;Region_1;PMC_T
M1,6,2,26,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.30314124535992626,378.0421577610373,142915.87304462102,IV1;IV2;year_1;Region_1;PMC_T
