model,repeat,fold,split_id,n_train,n_valid,rf_param_hash,R2,RMSE,MSE
M0_no_IV1,8,1,35,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.05810942623696924,215.9071163766098,46615.88290206292
M0_no_IV1,8,2,36,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.1392434354132288,2509.946288854053,6299830.372932234
M0_no_IV1,8,3,37,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-1.7504300512736206,173.50076318134535,30102.51482450928
M0_no_IV1,8,4,38,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.15685453121237036,763.7810390731388,583361.4756476436
M0_no_IV1,8,5,39,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.4254964849976257,737.9901830349603,544629.5102559743
M0_no_IV1,9,1,40,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.2621482730103102,2516.653707414455,6333545.88304292
M0_no_IV1,9,2,41,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.39502356281415807,185.34255664241184,34351.86330274564
M0_no_IV1,9,3,42,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-1.4525490810610826,224.7760446760855,50524.27026022558
M0_no_IV1,9,4,43,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.021499367280249038,459.1778111977115,210844.2622963212
M0_no_IV1,9,5,44,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.9332370704144701,368.9403783270166,136117.00276008213
M0_no_IV1,10,1,45,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.33587555152597703,340.5288323141334,115959.88563722718
M0_no_IV1,10,2,46,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.38867150743798295,199.12147969856028,39649.363677344154
M0_no_IV1,10,3,47,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.406736100304703,258.80528596891224,66980.17604545044
M0_no_IV1,10,4,48,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.26347985706360144,2595.914146051005,6738770.253667718
M0_no_IV1,10,5,49,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.12638198074737095,742.6335423715874,551504.5782553722
M0_no_IV1,11,1,50,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.15892066117250314,2378.7795142329196,5658591.977334205
M0_no_IV1,11,2,51,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.1993968424083048,783.4321040419082,613765.8616435314
M0_no_IV1,11,3,52,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.030207888495469182,235.97390326296,55683.6830211568
M0_no_IV1,11,4,53,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.01717181847152016,479.14725440125426,229582.09140026025
M0_no_IV1,11,5,54,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.32833404764590957,545.7184103039626,297808.5833446841
M0_no_IV1,12,1,55,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.13478583784408427,2360.269948874943,5570874.2315621255
M0_no_IV1,12,2,56,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.28463883083070574,809.614930502836,655476.3356931121
M0_no_IV1,12,3,57,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.18632382357978372,683.6731416205938,467408.9645733725
M0_no_IV1,12,4,58,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-1.2130649459552232,254.65594430948306,64849.64997215454
M0_no_IV1,12,5,59,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.5452411621133997,145.1703642801974,21074.434665245208
M0_no_IV1,13,1,60,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.04967811593954519,503.8616489398846,253876.56127241952
M0_no_IV1,13,2,61,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.07300950109770232,343.34106573827563,117883.08742229489
